id,name
99640,"Gregory Dudek"
100313,"Marina Meilă"
101042,"Bill Triggs"
101151,"Michael Bowman"
101160,"Jesús Peral"
101414,"Salvatore J Stolfo"
101804,"Yasuyuki Sakai"
103600,"Hua Wu"
105682,"Xiaoqiang Luo"
106304,"David Ronghwa Chiang"
109158,"Joohui An"
109411,"Nuria Oliver"
109575,"Atsuyoshi Nakamura"
109914,"James R. Slagle"
110423,"Nanning Zheng"
111250,"Russell Greiner"
111637,"Arcot Sowmya"
111860,"Joaquin Gonzalez-Rodriguez"
112055,"Jean-Paul Armspach"
112310,"Jessica Li Teng Koo"
112540,"Liran Goshen"
112705,"Philippe de Groote"
114037,"Jussi Tohka"
115640,"Ruzena Bajcsy"
117201,"Étienne Mémin"
117550,"Sadaoki Furui"
118181,"Hang Li"
118591,"Guillermo Sapiro"
119404,"Chikashi Nobata"
120050,"Dave Peterson"
124295,"Young-Soog Chae"
124490,"M. Tistarelli"
125996,"Jian-Gang Wang"
126806,"Anand Venkataraman"
127182,"Kary Myers"
127450,"Reinhard Rapp"
127466,"Stefan Rapp"
127997,"Risi Imre Kondor"
128049,"A. D. Jepson"
128297,"Stella X. Yu"
128480,"R. Kimmel"
128585,"Joseph Shamir"
129362,"Kentaro Torisawa"
130774,"Manik Varma"
134224,"Jun Wang"
136704,"Yongcheng Wang"
139402,"M. Sznaier"
139507,"Hisashi Kashima"
140838,"William D. Smart"
143038,"Jesus A. Gonzalez"
143684,"Larry S Davis"
144713,"Stefan Riezler"
145217,"Gang Wang"
145422,"Ilia Nouretdinov"
146123,"Nicolas Meuleau"
147013,"Yizhou Wang"
147461,"Tepchai Supnithi"
147983,"Roger Levy"
148492,"Hiromi Ozaku"
148563,"Waleed Al-Fares"
149070,"Yang Wang"
149215,"G. Sparr"
149265,"Sylvain Kahane"
149504,"C J Taylor"
149511,"Camillo J. Taylor"
149530,"Sham Kakade"
150281,"W. Culbertson"
150582,"Ronald M. Kaplan"
151238,"Christian Matenar"
151576,"Horst Bischof"
151846,"Jeff G. Schneider"
153181,"David D. Jensen"
154919,"J. Fiérrez-Aguilar"
158820,"A. Pentland"
159006,"Thomas G. Dietterich"
159168,"Hajime Kimura"
160385,"Xiang Sean Zhou"
160955,"Anna Korhonen"
161015,"Yuval Krymolowski"
161195,"Lyle Noakes"
161248,"Deepak Ravichandran"
161282,"Behzad Shahrary"
161710,"Alessio Del Bue"
162198,"Sabine Schulte im Walde"
162506,"Meir Cohen"
163787,"Eric Fosler-Lussier"
164316,"René Payrissat"
171177,"José Santos-Victor"
173400,"Mathias Creutz"
173570,"M. Yoshikawa"
173903,"L. Van Gool"
174042,"Colin Cherry"
174717,"Y Yeshurun"
177349,"Mazin G. Rahim"
179063,"Bonnie L Webber"
179257,"Francine Chen"
179373,"Vasant G. Honavar"
179523,"Xiangrong Chen"
179610,"Xing Chen"
180287,"Johannes E. Gehrke"
180338,"L Schubert"
186193,"Scott S. L. Piao"
188086,"Mark S. Drew"
189375,"Leo J. Guibas"
190198,"P Bouthemy"
190521,"M. Schmidt"
191048,"Peng-Yeng Yin"
191321,"Langzhou Chen"
191434,"Brian Curless"
