id,name,n_pubs,n_citations,h_index
1674341,Mats Rooth,3,4,1
86694,Paul Aarseth,1,0,0
253799,Richard Markham,1,0,0
290916,Nicholas J. Adams,1,0,0
749550,Arun Krishnan,1,0,0
767742,Naftali Tishby,3,0,0
955646,Frank Verbiest,1,0,0
1097853,Harry Shum,1,0,0
1156563,Gian Luca Marcialis,1,0,0
1191133,Chiraz BenAbdelkader,1,0,0
1331840,George Foster,1,2,1
1641126,Junxin Zhang,1,0,0
9258,Jason S. Chang,1,0,0
638805,Egon C. Pasztor,1,2,1
836530,Constantine Papageorgiou,1,2,1
944698,Junling Hu,1,0,0
957063,Björn Johansson,1,0,0
1286087,G. Adda,1,0,0
1668125,Javier Lorenzo,1,1,1
1686498,Gunes Ercal,1,0,0
60382,Shuntaro Isogai,1,1,1
144713,Stefan Riezler,4,10,3
151238,Christian Matenar,1,0,0
293126,Charles Rich,1,0,0
303069,Eugene Charniak,4,7,1
364672,Karsten L. Worm,1,3,1
378049,David Cohn,2,0,0
391837,Bart Selman,1,0,0
502789,Yusuf Sinan Akgul,1,0,0
656383,Alexander Berengolts,1,1,1
668832,Myung-Gil Jang,1,0,0
673226,Attilio Giordana,1,0,0
887836,Hiroshi Yokoi,1,0,0
996611,Kristin P. Bennet,1,0,0
1590097,Zaharin Yusoff,1,0,0
1658278,Ann Copestake,1,3,1
95118,Manfred K Warmuth,1,0,0
288902,Stefan Müller,1,1,1
473858,Fernando Pereira,4,14,2
878607,Balázs Kis,1,0,0
1188964,David C. Gibbon,1,0,0
1259444,Kilyoun Kim,1,0,0
1492794,Jongmoo Choi,1,0,0
62752,Greg Slabaugh,1,0,0
96156,José Gomes,2,0,0
415393,Kristin P. Bennett,2,0,0
496963,K Kanatani,3,4,1
572593,Vadim N. Smelyansky,1,0,0
591237,Silvio Savarese,1,1,1
1422580,Seiichiro Hangai,1,0,0
1583314,Atsushi Yamada,1,0,0
208818,Mark Bernhardt,1,0,0
315364,Kyoko Kanzaki,3,0,0
408661,Peter Meer,6,3,1
621166,Mariano Rivera,2,1,1
632893,Alexei A. Efros,2,3,1
869333,Nikita S. Imennov,1,0,0
970587,Okan Kolak,1,1,1
1092421,Maurício Marengoni,1,0,0
1098396,B C Vemuri,3,0,0
1114942,Jitendra Malik,9,7,2
1135378,Christopher Leckie,1,0,0
1270047,Emiel Krahmer,1,0,0
1310964,Thomas Leung,3,9,2
1404682,Chung Yong Lim,1,0,0
1448955,Guihong Cao,1,0,0
1478671,Carla E. Brodley,4,0,0
1482853,Wei Li,2,0,0
1657844,Justine Cassell,2,0,0
143684,Larry S Davis,6,3,1
310501,Huaigu Cao,1,0,0
393929,Marcel van Lohuizen,2,1,1
664155,Isaac Cohen,1,0,0
864475,Vincent Ng,1,2,1
875276,Clark Francis Olson,1,0,0
975037,Y. Hu,1,0,0
981982,Philip F. Mclauchlan,2,7,2
1026080,James M. Rehg,1,1,1
