author_id,article_id
1668129,99637
727054,99637
895745,99637
635502,99637
470023,99637
94475,99637
546860,99638
392192,99638
727054,99638
1252916,99638
1469483,99638
410162,99638
275155,99639
1170605,99639
753247,99639
1335096,99639
667831,99639
543051,99639
134551,99639
1265399,99639
535511,99639
1081362,99640
372986,99640
508666,99640
1365167,99641
216875,99642
727054,99643
1077586,99643
25533,99643
1630380,99643
556452,99643
635502,99643
470023,99643
1469483,99643
1175007,99643
1365250,99644
1090025,99645
23580,99645
901593,99645
1192165,99646
1297230,99646
791161,99646
1364084,99646
379401,99647
993902,99648
876095,99648
1082317,99649
793175,99649
1662897,99649
1230197,99649
458818,99650
1155826,99650
187394,99651
644316,99651
373613,99652
1555593,99653
903953,99653
994137,99653
1415798,99654
535511,99654
543051,99654
1630380,99655
556452,99655
1175007,99655
577977,99656
1510222,99656
308567,99656
1480651,99656
640343,99656
62099,99657
369815,99657
1480651,99658
351918,99658
1260754,99659
1077586,99659
1630380,99659
200070,99659
556452,99659
1098098,99659
1480817,99660
25533,99661
996986,99661
539267,99661
575038,99661
1630380,99662
751775,99663
349358,99663
1355789,99664
127383,99664
1142103,99665
90424,99665
1304198,99667
727054,99669
635502,99669
1469483,99669
1164396,99669
519176,99670
410162,99670
546860,99670
1070244,99671
1289943,99671
726904,99672
793712,99672
1327715,99672
1431671,99672
290090,99672
480767,99676
901593,99676
994559,99677
957864,99678
1669305,99681
299092,99681
649729,99683
546853,99683
772572,99683
525771,99683
517592,99684
831763,99686
547384,99686
803038,99686
755006,99686
982249,99686
341714,99686
556452,99686
649729,99686
427975,99686
544676,99686
127383,99686
772572,99686
140118,99686
200678,99686
603413,99686
1618133,99690
25533,99691
1077586,99691
544526,99692
1371360,99693
1469483,99693
1260754,99693
1233291,99695
189384,99695
729170,99695
409469,99696
62889,99696
430382,99698
840329,99698
1265399,99699
275155,99699
535511,99699
667831,99949
275155,99949
1335096,99949
134551,99949
1366752,99950
546860,99950
611307,99950
760096,99950
522064,99951
1369867,99951
10285,99952
524247,99952
546860,99952
52878,99953
844365,99953
275155,99954
667831,99954
535511,99954
1469483,103469
727054,103469
196170,103477
1375666,103477
473858,103478
546860,103480
1366752,103480
308567,103480
10285,103480
180338,103483
912138,103483
431572,103485
862778,103485
369815,103487
62099,103487
1600094,103489
650363,103489
1510222,103490
993902,103490
800422,103492
727054,103493
539267,103493
470023,103493
1469483,103493
1222094,103493
1354463,103495
758430,103495
1078152,103495
538055,103495
1421606,103495
508666,103496
794141,103496
650011,103496
1081362,103496
1366752,103497
122298,103498
1325462,103498
310682,103498
25533,103499
200070,103499
635502,103499
667831,103500
791161,103500
1268314,103500
1192165,103500
1297230,103500
626127,103502
1193763,103502
59627,103502
617814,103502
25533,103504
1630380,103504
200070,103504
556452,103504
1175007,103504
1365167,103506
14147,103507
1366752,103507
89715,103507
73860,103507
74890,103507
1462658,103507
1192165,103509
791161,103509
1268314,103509
667831,103509
1297230,103509
1355789,103509
835239,103509
1480651,103511
1510222,103511
308567,103511
315500,103511
728447,103511
774907,103515
863045,103516
