article_id,topic_id
466268,1
466269,1
466394,1
466395,1
466396,1
466397,1
466398,1
466399,1
466400,1
466401,1
466402,1
466403,1
466404,1
466405,1
466406,1
466407,1
466408,1
466409,1
466410,1
466411,1
466412,1
466413,1
466414,1
466415,1
466416,1
466417,1
466418,1
466419,1
466420,1
466421,1
466422,1
466423,1
466424,1
466425,1
466426,1
466427,1
466428,1
466429,1
466430,1
466431,1
466432,1
466433,1
466434,1
466435,1
466436,1
466558,1
466559,1
466560,1
466561,1
466562,1
466563,1
466564,1
466565,1
466566,1
466567,1
466568,1
466569,1
466570,1
466571,1
466572,1
466573,1
466574,1
466575,1
466576,1
466577,1
466578,1
466579,1
466580,1
466581,1
466582,1
466583,1
466584,1
466585,1
466586,1
466587,1
466588,1
466589,1
466590,1
466591,1
466592,1
466593,1
466594,1
466595,1
466596,1
466597,1
466598,1
466722,1
466723,1
466724,1
466725,1
466726,1
466727,1
466728,1
466729,1
466730,1
466731,1
466733,1
466734,1
466735,1
466736,1
466737,1
466738,1
466739,1
466740,1
466741,1
466742,1
466743,1
466744,1
466745,1
466746,1
466747,1
466748,1
466749,1
466750,1
466751,1
466752,1
466753,1
466754,1
466755,1
466756,1
466757,1
466758,1
466759,1
466760,1
466761,1
466762,1
466887,1
466888,1
466889,1
466890,1
466891,1
466892,1
466893,1
466894,1
466895,1
466896,1
466897,1
466898,1
466899,1
466900,1
466901,1
466902,1
466903,1
466904,1
466905,1
466906,1
466907,1
466908,1
466909,1
466910,1
466911,1
466912,1
466913,1
466914,1
466915,1
466916,1
466917,1
466918,1
466919,1
466920,1
466921,1
466922,1
466923,1
466924,1
466925,1
466926,1
466927,1
493970,0
493971,0
493972,0
493973,0
493974,0
493975,0
493976,0
493977,0
493978,0
493979,0
493980,0
493981,0
493982,0
493983,0
493984,0
493985,0
493986,0
493987,0
493988,0
564189,0
564191,0
564257,1
564259,1
564282,1
564285,1
564288,1
564550,0
565210,0
565222,0
565223,0
565224,0
565225,0
565226,0
565227,0
565228,0
565229,0
565230,0
565231,0
565232,0
565233,0
565234,0
565235,0
565533,1
565534,1
565535,1
565536,1
565537,1
565538,1
565539,1
565540,1
565541,1
565542,1
565543,1
565544,1
565545,1
565546,1
565547,1
565548,1
565549,1
565550,1
566659,0
591865,0
591866,0
591867,0
592941,0
592942,0
592943,0
592944,0
635242,0
635681,0
635682,0
635683,0
635684,0
635685,0
635686,0
635687,0
635688,0
635689,0
635690,0
635691,0
635692,0
635693,0
635694,0
635695,0
635696,0
635697,0
635698,0
635699,0
635700,0
635701,0
635702,0
635703,0
635704,0
635705,0
